sl_no,sl_no_flag,town_name,town_name_flag,road_length_km,road_length_km_flag,sewerage_drainage_system,sewerage_drainage_system_flag,water_borne_latrines,water_borne_latrines_flag,service_latrines,service_latrines_flag,other_latrines,other_latrines_flag,night_soil_disposal_method,night_soil_disposal_method_flag,water_source,water_source_flag,water_capacity,water_capacity_flag,fire_service,fire_service_flag,elec_domestic,elec_domestic_flag,elec_industrial,elec_industrial_flag,elec_commercial,elec_commercial_flag,elec_road_light,elec_road_light_flag,elec_other,elec_other_flag,pucca_road_km,kutcha_road_km,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
2,,Tanda,,PR (3) KR (2),,OSD,,...,,"1,327",,...,,B/HL,,HP/W,,...,,...,,255,,34,,97,,176,,...,,3,2,ORDINARY,,False,1,rampur_civic_1971,Rampur,Uttar Pradesh,1971,format_001,rampur_civic_001,rampur_civic_1971.pdf,8141c76e34b694e379c64147e2618648703ee26d248998216553d3fa2cf12dcd,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:06:06.986705+00:00
1,,"Bharat Heavy Electricals Ltd., Ranipur",,PR (40) KR (0),,ST,,"3,000",,...,,...,,...,,TW/OHT,,"120,000 Galls.",,Yes,,"3,000",,4,,40,,872,,...,,40.0,0.0,ORDINARY,,False,0,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
2,,Deoband,,PR (46) KR (26),,PT/OSD,,10,,"5,000",,...,,B,,HP/W,,...,,...,,811,,52,,88,,459,,...,,46.0,26.0,ORDINARY,,False,1,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
3,,Gangoh,,PR (17) KR (5),,OSD,,...,,935,,...,,HL,,HP/W,,...,,...,,980,,42,,120,,253,,...,,17.0,5.0,ORDINARY,,False,2,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
4,,Gurukul Kangri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Hardwar Urban Agglomeration,False,3,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
5,,Hardwar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Hardwar Urban Agglomeration,False,4,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
,,Hardwar Urban Agglomeration,,PR (82) KR (0),,S/ST/OSD,,"1,702",,"5,588",,10,,HL/HC/MT,,TW/OHT,,"5,298,920 Galls.",,Yes,,"9,033",,261,,222,,"1,919",,...,,82.0,0.0,AGGREGATE,,False,5,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
(i),,Gurukul Kangri,,PR (3) KR (0),,S,,82,,60,,10,,HL,,TW/OHT,,"12,000 Galls.",,...,,"1,815",,...,,1,,50,,...,,3.0,0.0,COMPONENT,,False,6,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
(ii),,Hardwar,,PR (78) KR (0),,S/OSD,,"1,600",,"5,528",,...,,HC/MT,,TW/OHT,,"5,281,920 Galls.",,Yes,,"6,218",,258,,220,,"1,849",,...,,78.0,0.0,COMPONENT,,False,7,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
(iii),,Jwalapur Mahavidyalaya,,PR (1) KR (0),,ST,,20,,...,,...,,HC,,TW/OHT,,"5,000 Galls.",,...,,"1,000",,3,,1,,20,,...,,1.0,0.0,COMPONENT,,False,8,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
6,,Jwalapur Mahavidyalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Hardwar Urban Agglomeration,False,9,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
7,,Manglaur,,PR (21) KR (19),,PT/OSD,,15,,"3,500",,...,,HL/HC/MT,,HP/W,,...,,...,,399,,16,,100,,190,,...,,21.0,19.0,ORDINARY,,False,10,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
8,,Nakur,,PR (9) KR (4),,PT/OSD,,17,,"1,153",,...,,HC,,TW/HP/W,,"1,500 Galls.",,...,,354,,11,,81,,45,,...,,9.0,4.0,ORDINARY,,False,11,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
9,,Rampur Maniharan,,PR (8) KR (2),,PT/OSD,,10,,"1,535",,...,,B,,HP/W,,...,,...,,350,,35,,100,,76,,...,,8.0,2.0,ORDINARY,,False,12,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
10,,Roorkee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Roorkee Urban Agglomeration,False,13,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
11,,Roorkee Cantt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Roorkee Urban Agglomeration,False,14,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
,,Roorkee Urban Agglomeration,,PR (61) KR (0),,S/OSD,,300,,"7,870",,701,,MT/B/HL,,TW/OHT/HP,,"120,000 Galls.",,Yes,,"3,072",,230,,"1,036",,919,,-,,61.0,0.0,AGGREGATE,,False,15,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
(i),,Roorkee,,PR (55) KR (0),,S/OSD,,300,,"7,812",,701,,B/MT,,TW/OHT,,"100,000 Galls.",,Yes,,"2,990",,230,,"1,032",,787,,...,,55.0,0.0,COMPONENT,,False,16,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
(ii),,Roorkee Cantt.,,PR (6) KR (0),,OSD,,...,,58,,...,,HL,,TW/OHT/HP,,"20,000 Galls.",,...,,82,,...,,4,,132,,...,,6.0,0.0,COMPONENT,,False,17,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
12,,Saharanpur,,PR (145) KR (45),,S/OSD,,"3,000",,"44,700",,...,,HL/HC/MT,,TW/OHT,,"300,000 Galls.",,Yes,,"17,534",,764,,"1,000",,"8,381",,...,,145.0,45.0,ORDINARY,,False,18,saharanpur_civic_1971,Saharanpur,Uttar Pradesh,1971,format_001,saharanpur_civic_001,saharanpur_civic_1971.pdf,297643cac7cef03dc13b36c2f3b9851002d6a3658e08c042256d2e87f6ebc282,32,33,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:08:59.558149+00:00
1,,Jalalabad,,PR (2.2) KR (4),,PT/OSD,,25,,"1,860",,...,,B,,HP,,...,,...,,310,,37,,52,,61,,...,,2.2,4.0,ORDINARY,,False,0,shahjahanpur_civic_1971,Shahjahanpur,Uttar Pradesh,1971,format_001,shahjahanpur_civic_001,shahjahanpur_civic_1971.pdf,f24dca2a5241e8e86de179a4a7ff684aa4ca1c3394f776793cb35cef6175ab53,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:16:13.821007+00:00
2,,Powayan,,PR (3.5) KR (2.7),,PT/OSD,,18,,"1,138",,...,,B,,HP,,...,,...,,398,,22,,47,,55,,...,,3.5,2.7,ORDINARY,,False,1,shahjahanpur_civic_1971,Shahjahanpur,Uttar Pradesh,1971,format_001,shahjahanpur_civic_001,shahjahanpur_civic_1971.pdf,f24dca2a5241e8e86de179a4a7ff684aa4ca1c3394f776793cb35cef6175ab53,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:16:13.821007+00:00
3,,Rly. Settlement Roza,,PR (3) KR (6),,PT/OSD,,10,,800,,...,,B,,TW/OHT,,"288,000 Galls.",,...,,740,,3,,15,,270,,...,,3.0,6.0,ORDINARY,,False,2,shahjahanpur_civic_1971,Shahjahanpur,Uttar Pradesh,1971,format_001,shahjahanpur_civic_001,shahjahanpur_civic_1971.pdf,f24dca2a5241e8e86de179a4a7ff684aa4ca1c3394f776793cb35cef6175ab53,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:16:13.821007+00:00
4,,Shahjahanpur Cantt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Shahjahanpur City Urban Agglomeration,False,3,shahjahanpur_civic_1971,Shahjahanpur,Uttar Pradesh,1971,format_001,shahjahanpur_civic_001,shahjahanpur_civic_1971.pdf,f24dca2a5241e8e86de179a4a7ff684aa4ca1c3394f776793cb35cef6175ab53,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:16:13.821007+00:00
,,Shahjahanpur City Urban Agglomeration,,PR (146.2) KR (24.0),,PT/OSD,,630,,"19,175",,...,,B/HC,,TW/OHT,,"280,000 Galls.",,Yes,,"5,384",,260,,"1,530",,"2,018",,...,,146.2,24.0,AGGREGATE,,False,4,shahjahanpur_civic_1971,Shahjahanpur,Uttar Pradesh,1971,format_001,shahjahanpur_civic_001,shahjahanpur_civic_1971.pdf,f24dca2a5241e8e86de179a4a7ff684aa4ca1c3394f776793cb35cef6175ab53,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:16:13.821007+00:00
(i),,Shahjahanpur Cantt.,,PR (17.7) KR (0),,PT/OSD,,40,,"1,500",,...,,B,,TW/OHT,,"80,000 Galls.",,Yes,,74,,9,,23,,151,,...,,17.7,0.0,COMPONENT,,False,5,shahjahanpur_civic_1971,Shahjahanpur,Uttar Pradesh,1971,format_001,shahjahanpur_civic_001,shahjahanpur_civic_1971.pdf,f24dca2a5241e8e86de179a4a7ff684aa4ca1c3394f776793cb35cef6175ab53,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:16:13.821007+00:00
(ii),,Shahjahanpur,,PR (128.5) KR (24.0),,PT/OSD,,590,,"17,675",,...,,B/HC,,TW/OHT,,"200,000 Galls.",,Yes,,"5,310",,251,,"1,507",,"1,867",,...,,128.5,24.0,COMPONENT,,False,6,shahjahanpur_civic_1971,Shahjahanpur,Uttar Pradesh,1971,format_001,shahjahanpur_civic_001,shahjahanpur_civic_1971.pdf,f24dca2a5241e8e86de179a4a7ff684aa4ca1c3394f776793cb35cef6175ab53,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:16:13.821007+00:00
5,,Shahjahanpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Shahjahanpur City Urban Agglomeration,False,7,shahjahanpur_civic_1971,Shahjahanpur,Uttar Pradesh,1971,format_001,shahjahanpur_civic_001,shahjahanpur_civic_1971.pdf,f24dca2a5241e8e86de179a4a7ff684aa4ca1c3394f776793cb35cef6175ab53,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:16:13.821007+00:00
6,,Tilhar,,PR (29.6) KR (8.7),,PT/OSD,,35,,"3,843",,...,,B,,HP,,...,,...,,540,,74,,123,,206,,...,,29.6,8.7,ORDINARY,,False,8,shahjahanpur_civic_1971,Shahjahanpur,Uttar Pradesh,1971,format_001,shahjahanpur_civic_001,shahjahanpur_civic_1971.pdf,f24dca2a5241e8e86de179a4a7ff684aa4ca1c3394f776793cb35cef6175ab53,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:16:13.821007+00:00
1,,Biswan,,PR (26) KR (11),,OSD/ST,,43,,"2,398",,...,,B,,TW/OHT,,"40,000 Galls.",,...,,681,,48,,160,,222,,...,,26.0,11.0,ORDINARY,,False,0,sitapur_civic_1971,Sitapur,Uttar Pradesh,1971,format_001,sitapur_civic_001,sitapur_civic_1971.pdf,debf9d8278da5ec0a458c2247945d5ed3cd51ea3febdeb9638575e3084c81c1f,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:22:00.142053+00:00
2,,Khairabad,,PR (26.1) KR (39.8),,OSD/ST,,110,,"3,000",,...,,B,,HP,,...,,...,,208,,27,,85,,150,,...,,26.1,39.8,ORDINARY,,False,1,sitapur_civic_1971,Sitapur,Uttar Pradesh,1971,format_001,sitapur_civic_001,sitapur_civic_1971.pdf,debf9d8278da5ec0a458c2247945d5ed3cd51ea3febdeb9638575e3084c81c1f,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:22:00.142053+00:00
3,,Laharpur,,PR (8.7) KR (4.1),,OSD/ST,,131,,"1,440",,...,,B,,HP,,...,,...,,450,,15,,260,,117,,...,,8.7,4.1,ORDINARY,,False,2,sitapur_civic_1971,Sitapur,Uttar Pradesh,1971,format_001,sitapur_civic_001,sitapur_civic_1971.pdf,debf9d8278da5ec0a458c2247945d5ed3cd51ea3febdeb9638575e3084c81c1f,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:22:00.142053+00:00
4,,Mahmudabad,,PR (2) KR (14),,OSD/ST,,49,,"1,253",,...,,B,,HP,,...,,...,,325,,22,,81,,160,,...,,2.0,14.0,ORDINARY,,False,3,sitapur_civic_1971,Sitapur,Uttar Pradesh,1971,format_001,sitapur_civic_001,sitapur_civic_1971.pdf,debf9d8278da5ec0a458c2247945d5ed3cd51ea3febdeb9638575e3084c81c1f,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:22:00.142053+00:00
5,,Neemsar Misrikh,,PR (3.6) KR (7.7),,OSD/ST,,48,,507,,...,,B,,HP,,...,,...,,323,,37,,82,,159,,...,,3.6,7.7,ORDINARY,,False,4,sitapur_civic_1971,Sitapur,Uttar Pradesh,1971,format_001,sitapur_civic_001,sitapur_civic_1971.pdf,debf9d8278da5ec0a458c2247945d5ed3cd51ea3febdeb9638575e3084c81c1f,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:22:00.142053+00:00
6,,Sitapur,,PR (47) KR (15),,OSD/ST,,455,,"7,129",,...,,B/HC,,TW/OHT/HP,,"155,000 Galls.",,...,,"5,981",,279,,230,,850,,...,,47.0,15.0,ORDINARY,,False,5,sitapur_civic_1971,Sitapur,Uttar Pradesh,1971,format_001,sitapur_civic_001,sitapur_civic_1971.pdf,debf9d8278da5ec0a458c2247945d5ed3cd51ea3febdeb9638575e3084c81c1f,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:22:00.142053+00:00
1,,Sultanpur,,PR (40) KR (10),,ST/OSD/BSD,,635,,"3,776",,...,,HC/HL,,TW/OHT,,"50,000 Galls.",,...,,"1,104",,143,,746,,296,,...,,40.0,10.0,ORDINARY,,False,0,sultanpur_civic_1971,Sultanpur,Uttar Pradesh,1971,format_001,sultanpur_civic_001,sultanpur_civic_1971.pdf,eb7a46383c5964b9f33452cd1077780e0ffdc373ee242c25f4ee6a0c0a449bee,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:25:08.968987+00:00
1,,Devaprayag,,PR (10) KR (2),,PT/OSD,,16,,212,,...,,HC/HL,,F,,...,,...,,78,,1,,40,,193,,...,,10.0,2.0,ORDINARY,,False,0,tehri_garhwal_civic_1971,Tehri Garhwal,Uttar Pradesh,1971,format_001,tehri_garhwal_civic_001,tehri_garhwal_civic_1971.pdf,a88c486bf0e0d9d903f50f517ba1edd87c95145bfa2003e9a7c3ec07ab3649b9,33,34,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:26:39.905978+00:00
2,,Muni-Ki-Reti,,PR (2) KR (3),,PT/OSD,,52,,142,,...,,HC/HL,,TW/SR,,"25,000 Galls.",,...,,88,,...,,16,,42,,...,,2.0,3.0,ORDINARY,,False,1,tehri_garhwal_civic_1971,Tehri Garhwal,Uttar Pradesh,1971,format_001,tehri_garhwal_civic_001,tehri_garhwal_civic_1971.pdf,a88c486bf0e0d9d903f50f517ba1edd87c95145bfa2003e9a7c3ec07ab3649b9,33,34,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:26:39.905978+00:00
3,,Narendranagar,,PR (6) KR (4),,OSD,,...,,498,,...,,HC/HL,,F/SR,,"529,909 Galls.",,...,,192,,2,,14,,84,,...,,6.0,4.0,ORDINARY,,False,2,tehri_garhwal_civic_1971,Tehri Garhwal,Uttar Pradesh,1971,format_001,tehri_garhwal_civic_001,tehri_garhwal_civic_1971.pdf,a88c486bf0e0d9d903f50f517ba1edd87c95145bfa2003e9a7c3ec07ab3649b9,33,34,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:26:39.905978+00:00
4,,Tehri,,PR (6) KR (8),,PT/OSD,,17,,720,,...,,HC/HL,,F/SR,,"30,600 Galls.",,...,,375,,1,,11,,202,,...,,6.0,8.0,ORDINARY,,False,3,tehri_garhwal_civic_1971,Tehri Garhwal,Uttar Pradesh,1971,format_001,tehri_garhwal_civic_001,tehri_garhwal_civic_1971.pdf,a88c486bf0e0d9d903f50f517ba1edd87c95145bfa2003e9a7c3ec07ab3649b9,33,34,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:26:39.905978+00:00
